GeoType,CDTAType,GeogName,GeoID,Borough,Pop16plE,Pop16plM,Pop16plC,Pop16plP,Pop16plZ,MdHHIncE,MdHHIncM,MdHHIncC,MnHHIncE,MnHHIncM,MnHHIncC,MdFamIncE,MdFamIncM,MdFamIncC,Nfam2E,Nfam2M,Nfam2C,Nfam2P,Nfam2Z,MdNFIncE,MdNFIncM,MdNFIncC,PerCapIncE,PerCapIncM,PerCapIncC,FamPvUE,FamPvUM,FamPvUC,FamPvUP,FamPvUZ,FamBwPvE,FamBwPvM,FamBwPvC,FamBwPvP,FamBwPvZ,PopPvU1E,PopPvU1M,PopPvU1C,PopPvU1P,PopPvU1Z,PBwPvE,PBwPvM,PBwPvC,PBwPvP,PBwPvZ,PU18PvUE,PU18PvUM,PU18PvUC,PU18PvUP,PU18PvUZ,PU18BwPvE,PU18BwPvM,PU18BwPvC,PU18BwPvP,PU18BwPvZ,P65plPvUE,P65plPvUM,P65plPvUC,P65plPvUP,P65plPvUZ,P65plBwPvE,P65plBwPvM,P65plBwPvC,P65plBwPvP,P65plBwPvZ,PopPvU2E,PopPvU2M,PopPvU2C,PopPvU2P,PopPvU2Z,PvU50E,PvU50M,PvU50C,PvU50P,PvU50Z,Pv50t74E,Pv50t74M,Pv50t74C,Pv50t74P,Pv50t74Z,Pv75t99E,Pv75t99M,Pv75t99C,Pv75t99P,Pv75t99Z,Pv100t124E,Pv100t124M,Pv100t124C,Pv100t124P,Pv100t124Z,Pv125t149E,Pv125t149M,Pv125t149C,Pv125t149P,Pv125t149Z,Pv150t174E,Pv150t174M,Pv150t174C,Pv150t174P,Pv150t174Z,Pv175t184E,Pv175t184M,Pv175t184C,Pv175t184P,Pv175t184Z,Pv185t199E,Pv185t199M,Pv185t199C,Pv185t199P,Pv185t199Z,Pv200t299E,Pv200t299M,Pv200t299C,Pv200t299P,Pv200t299Z,Pv300t399E,Pv300t399M,Pv300t399C,Pv300t399P,Pv300t399Z,Pv400t499E,Pv400t499M,Pv400t499C,Pv400t499P,Pv400t499Z,Pv500plE,Pv500plM,Pv500plC,Pv500plP,Pv500plZ,,
CDTA2020,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),301,Brooklyn,"159,099","3,467",1.3,100.0,0.0,"102,807","4,843",2.9,"150,438","6,317",2.6,"87,716","6,983",4.8,"43,368","1,454",2.0,100.0,0.0,"112,392","6,427",3.5,"61,403","2,798",2.8,"39,808","1,363",2.1,100.0,0.0,"7,582",790,6.3,19.0,1.9,"202,294","5,186",1.6,100.0,0.0,"43,813","3,860",5.4,21.7,1.8,"47,493","3,109",4.0,100.0,0.0,"17,238","2,444",8.6,36.3,4.6,"18,480","1,263",4.2,100.0,0.0,"5,087",851,10.2,27.5,4.2,"202,294","5,186",1.6,100.0,0.0,"18,390","1,521",5.0,9.1,0.7,"11,955","1,511",7.7,5.9,0.7,"13,468","1,586",7.2,6.7,0.8,"8,028","1,073",8.1,4.0,0.5,"10,357","1,266",7.4,5.1,0.6,"7,694","1,152",9.1,3.8,0.6,"2,520",622,15.0,1.2,0.3,"3,119",604,11.8,1.5,0.3,"19,905","1,583",4.8,9.8,0.7,"18,184","1,449",4.8,9.0,0.7,"15,045","1,368",5.5,7.4,0.6,"73,629","2,668",2.2,36.4,0.9,,
CDTA2020,CD,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),302,Brooklyn,"107,167","2,548",1.4,100.0,0.0,"145,094","6,304",2.6,"210,397","10,977",3.2,"190,369","12,042",3.8,"34,217","1,310",2.3,100.0,0.0,"118,338","6,600",3.4,"100,469","5,359",3.2,"25,302","1,082",2.6,100.0,0.0,"2,228",432,11.8,8.8,1.7,"119,891","3,161",1.6,100.0,0.0,"14,642","1,510",6.3,12.2,1.2,"19,452","1,329",4.2,100.0,0.0,"2,586",687,16.1,13.3,3.4,"14,949",966,3.9,100.0,0.0,"2,969",524,10.7,19.9,3.3,"119,891","3,161",1.6,100.0,0.0,"8,002",832,6.3,6.7,0.7,"2,959",531,10.9,2.5,0.4,"3,681",565,9.3,3.1,0.5,"2,389",407,10.4,2.0,0.3,"2,353",431,11.1,2.0,0.4,"3,109",627,12.3,2.6,0.5,"1,018",319,19.0,0.8,0.3,936,254,16.5,0.8,0.2,"9,177",884,5.9,7.7,0.7,"6,905",746,6.6,5.8,0.6,"8,110",889,6.7,6.8,0.7,"71,252","2,410",2.1,59.4,1.3,,
CDTA2020,CD,BK03 Bedford-Stuyvesant (CD 3 Approximation),303,Brooklyn,"143,966","3,586",1.5,100.0,0.0,"77,546","3,762",2.9,"112,123","4,943",2.7,"78,047","5,645",4.4,"34,455","1,266",2.2,100.0,0.0,"74,225","5,252",4.3,"44,054","2,103",2.9,"35,815","1,397",2.4,100.0,0.0,"7,805",940,7.3,21.8,2.5,"179,468","4,880",1.7,100.0,0.0,"45,735","3,746",5.0,25.5,2.0,"40,243","2,514",3.8,100.0,0.0,"15,074","2,177",8.8,37.5,4.9,"18,201","1,285",4.3,100.0,0.0,"4,757",740,9.5,26.1,3.6,"179,468","4,880",1.7,100.0,0.0,"22,447","1,711",4.6,12.5,0.9,"10,977","1,261",7.0,6.1,0.7,"12,311","1,259",6.2,6.9,0.7,"7,671",891,7.1,4.3,0.5,"5,575",742,8.1,3.1,0.4,"5,162",702,8.3,2.9,0.4,"1,229",319,15.8,0.7,0.2,"4,920",667,8.2,2.7,0.4,"24,853","1,661",4.1,13.8,0.8,"18,309","1,423",4.7,10.2,0.7,"15,978","1,271",4.8,8.9,0.7,"50,036","2,225",2.7,27.9,1.0,,
CDTA2020,CD,BK04 Bushwick (CD 4 Equivalent),304,Brooklyn,"97,225","3,051",1.9,100.0,0.0,"83,441","3,705",2.7,"102,437","5,155",3.1,"80,120","4,750",3.6,"24,055","1,073",2.7,100.0,0.0,"82,385","5,670",4.2,"40,105","2,142",3.2,"20,368","1,084",3.2,100.0,0.0,"3,615",543,9.1,17.7,2.5,"111,441","3,825",2.1,100.0,0.0,"23,660","2,257",5.8,21.2,1.9,"16,352","1,562",5.8,100.0,0.0,"5,166","1,151",13.5,31.6,6.4,"11,406","1,058",5.6,100.0,0.0,"3,718",673,11.0,32.6,5.1,"111,441","3,825",2.1,100.0,0.0,"11,898","1,220",6.2,10.7,1.0,"5,508",798,8.8,4.9,0.7,"6,254",878,8.5,5.6,0.8,"4,268",758,10.8,3.8,0.7,"5,285",706,8.1,4.7,0.6,"4,992",692,8.4,4.5,0.6,"1,379",398,17.5,1.2,0.4,"2,750",696,15.4,2.5,0.6,"17,317","1,332",4.7,15.5,1.1,"14,558","1,325",5.5,13.1,1.1,"11,917","1,149",5.9,10.7,1.0,"25,315","1,490",3.6,22.7,1.1,,
CDTA2020,CD,BK05 East New York-Cypress Hills (CD 5 Approximation),305,Brooklyn,"156,978","4,186",1.6,100.0,0.0,"54,145","2,263",2.5,"74,048","3,724",3.1,"65,062","2,929",2.7,"25,237","1,374",3.3,100.0,0.0,"29,480","2,631",5.4,"27,206","1,513",3.4,"46,947","1,534",2.0,100.0,0.0,"9,204",945,6.2,19.6,1.9,"199,043","5,555",1.7,100.0,0.0,"46,365","3,656",4.8,23.3,1.7,"48,382","2,773",3.5,100.0,0.0,"14,531","2,062",8.6,30.0,3.9,"28,714","1,642",3.5,100.0,0.0,"7,714",999,7.9,26.9,3.1,"199,043","5,555",1.7,100.0,0.0,"24,746","1,880",4.6,12.4,0.9,"10,772","1,269",7.2,5.4,0.6,"10,847","1,235",6.9,5.4,0.6,"9,039","1,037",7.0,4.5,0.5,"11,339","1,134",6.1,5.7,0.5,"10,249","1,144",6.8,5.1,0.6,"3,772",683,11.0,1.9,0.3,"6,940",898,7.9,3.5,0.4,"35,586","2,041",3.5,17.9,0.9,"26,497","1,821",4.2,13.3,0.8,"17,240","1,593",5.6,8.7,0.8,"32,016","1,903",3.6,16.1,0.8,,
CDTA2020,CD,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),306,Brooklyn,"96,887","2,687",1.7,100.0,0.0,"165,947","8,151",3.0,"243,739","13,524",3.4,"200,000",,,"23,576","1,227",3.2,100.0,0.0,"119,939","8,201",4.2,"104,552","5,915",3.4,"28,171","1,106",2.4,100.0,0.0,"1,899",388,12.4,6.7,1.4,"120,194","3,502",1.8,100.0,0.0,"10,430","1,300",7.6,8.7,1.1,"25,902","1,525",3.6,100.0,0.0,"1,799",711,24.0,6.9,2.7,"14,435","1,022",4.3,100.0,0.0,"1,998",365,11.1,13.8,2.3,"120,194","3,502",1.8,100.0,0.0,"6,594",891,8.2,5.5,0.7,"1,761",388,13.4,1.5,0.3,"2,075",423,12.4,1.7,0.3,"2,717",750,16.8,2.3,0.6,"2,033",428,12.8,1.7,0.4,"2,870",560,11.9,2.4,0.5,741,298,24.4,0.6,0.2,"1,174",311,16.1,1.0,0.3,"7,310",829,6.9,6.1,0.7,"6,927",726,6.4,5.8,0.6,"8,531",954,6.8,7.1,0.8,"77,461","2,601",2.0,64.4,1.1,,
CDTA2020,CD,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),307,Brooklyn,"94,196","2,868",1.9,100.0,0.0,"84,767","4,589",3.3,"126,992","7,473",3.6,"86,680","6,511",4.6,"14,478",980,4.1,100.0,0.0,"69,456","9,399",8.2,"44,418","3,086",4.2,"26,749","1,019",2.3,100.0,0.0,"3,917",493,7.6,14.6,1.8,"117,758","3,840",2.0,100.0,0.0,"22,018","2,064",5.7,18.7,1.6,"27,669","1,707",3.7,100.0,0.0,"6,654","1,050",9.6,24.0,3.5,"15,273","1,055",4.2,100.0,0.0,"3,629",499,8.4,23.8,2.8,"117,758","3,840",2.0,100.0,0.0,"7,103",738,6.3,6.0,0.6,"6,533",726,6.8,5.5,0.6,"8,382",949,6.9,7.1,0.8,"7,206",809,6.8,6.1,0.7,"6,581",789,7.3,5.6,0.6,"5,632",812,8.8,4.8,0.7,"2,052",478,14.2,1.7,0.4,"3,233",501,9.4,2.7,0.4,"15,881","1,243",4.8,13.5,1.0,"11,123",980,5.4,9.4,0.8,"7,976",874,6.7,6.8,0.7,"36,056","1,710",2.9,30.6,1.1,,
CDTA2020,CD,BK08 Crown Heights (North) (CD 8 Approximation),308,Brooklyn,"91,982","2,716",1.8,100.0,0.0,"90,978","4,748",3.2,"133,992","6,800",3.1,"100,163","9,842",6.0,"25,552","1,146",2.7,100.0,0.0,"82,823","5,569",4.1,"58,996","3,145",3.2,"22,360","1,186",3.2,100.0,0.0,"2,884",523,11.0,12.9,2.2,"108,766","3,372",1.9,100.0,0.0,"18,369","1,969",6.5,16.9,1.7,"19,366","1,573",4.9,100.0,0.0,"4,448","1,091",14.9,23.0,5.3,"13,326","1,160",5.3,100.0,0.0,"2,700",671,15.1,20.3,4.7,"108,766","3,372",1.9,100.0,0.0,"10,150","1,061",6.4,9.3,0.9,"3,757",722,11.7,3.5,0.7,"4,462",681,9.3,4.1,0.6,"3,732",697,11.4,3.4,0.6,"3,673",656,10.9,3.4,0.6,"3,755",588,9.5,3.5,0.5,"1,256",366,17.7,1.2,0.3,"2,475",556,13.7,2.3,0.5,"13,892","1,353",5.9,12.8,1.2,"9,706",951,6.0,8.9,0.8,"8,434",920,6.6,7.8,0.8,"43,474","2,192",3.1,40.0,1.6,,
CDTA2020,CD,BK09 Crown Heights (South) (CD 9 Approximation),309,Brooklyn,"80,525","2,923",2.2,100.0,0.0,"73,751","4,518",3.7,"99,934","5,855",3.6,"84,649","5,545",4.0,"18,522","1,004",3.3,100.0,0.0,"55,342","4,619",5.1,"41,492","2,625",3.8,"21,514","1,082",3.1,100.0,0.0,"2,682",503,11.4,12.5,2.3,"96,388","3,658",2.3,100.0,0.0,"17,079","2,129",7.6,17.7,2.1,"19,297","1,649",5.2,100.0,0.0,"4,478",996,13.5,23.2,4.8,"15,606","1,098",4.3,100.0,0.0,"2,978",539,11.0,19.1,3.2,"96,388","3,658",2.3,100.0,0.0,"6,953",852,7.4,7.2,0.8,"5,567",868,9.5,5.8,0.9,"4,559",708,9.4,4.7,0.7,"3,956",664,10.2,4.1,0.7,"4,641",858,11.2,4.8,0.9,"3,937",639,9.9,4.1,0.6,"1,605",389,14.7,1.7,0.4,"2,971",624,12.8,3.1,0.6,"13,783","1,417",6.2,14.3,1.4,"11,434","1,079",5.7,11.9,1.0,"10,656","1,089",6.2,11.1,1.0,"26,326","1,671",3.9,27.3,1.4,,
CDTA2020,CD,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),310,Brooklyn,"102,557","2,576",1.5,100.0,0.0,"87,994","4,088",2.8,"121,357","5,509",2.8,"101,463","6,286",3.8,"17,989",823,2.8,100.0,0.0,"64,656","5,568",5.2,"47,748","2,194",2.8,"31,280","1,107",2.2,100.0,0.0,"3,683",549,9.1,11.8,1.7,"124,201","3,232",1.6,100.0,0.0,"17,391","1,614",5.6,14.0,1.2,"25,366","1,368",3.3,100.0,0.0,"4,638",743,9.7,18.3,2.8,"23,625","1,111",2.9,100.0,0.0,"3,426",475,8.4,14.5,1.9,"124,201","3,232",1.6,100.0,0.0,"6,800",742,6.6,5.5,0.6,"3,965",519,8.0,3.2,0.4,"6,626",758,7.0,5.3,0.6,"4,682",662,8.6,3.8,0.5,"5,119",654,7.8,4.1,0.5,"4,677",551,7.2,3.8,0.4,"1,965",475,14.7,1.6,0.4,"3,239",506,9.5,2.6,0.4,"15,348","1,028",4.1,12.4,0.8,"14,471","1,031",4.3,11.7,0.8,"11,707",991,5.1,9.4,0.8,"45,602","1,636",2.2,36.7,0.9,,
CDTA2020,CD,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),311,Brooklyn,"146,108","3,456",1.4,100.0,0.0,"68,756","2,886",2.6,"94,975","4,484",2.9,"77,070","4,233",3.3,"17,677",939,3.2,100.0,0.0,"40,462","4,697",7.1,"32,270","1,520",2.9,"45,373","1,431",1.9,100.0,0.0,"6,301",711,6.9,13.9,1.5,"181,651","4,574",1.5,100.0,0.0,"33,122","2,649",4.9,18.2,1.4,"40,313","2,174",3.3,100.0,0.0,"9,943","1,432",8.8,24.7,3.3,"30,964","1,506",3.0,100.0,0.0,"6,541",759,7.0,21.1,2.2,"181,651","4,574",1.5,100.0,0.0,"12,730","1,253",6.0,7.0,0.7,"7,840",852,6.6,4.3,0.5,"12,552","1,067",5.2,6.9,0.6,"11,689","1,017",5.3,6.4,0.5,"11,064","1,143",6.3,6.1,0.6,"8,107",828,6.2,4.5,0.4,"4,327",750,10.5,2.4,0.4,"5,123",624,7.4,2.8,0.3,"29,616","1,567",3.2,16.3,0.8,"21,320","1,304",3.7,11.7,0.7,"15,242","1,119",4.5,8.4,0.6,"42,041","1,808",2.6,23.1,0.8,,
CDTA2020,CD,BK12 Borough Park-Kensington (CD 12 Approximation),312,Brooklyn,"130,564","3,575",1.7,100.0,0.0,"67,808","3,090",2.8,"99,771","5,092",3.1,"71,535","3,663",3.1,"14,357",908,3.8,100.0,0.0,"48,122","7,252",9.2,"28,349","1,545",3.3,"41,010","1,260",1.9,100.0,0.0,"7,866",693,5.4,19.2,1.6,"192,953","5,707",1.8,100.0,0.0,"47,291","3,764",4.8,24.5,1.8,"70,492","3,603",3.1,100.0,0.0,"21,836","2,400",6.7,31.0,3.0,"23,126","1,335",3.5,100.0,0.0,"4,811",716,9.0,20.8,2.9,"192,953","5,707",1.8,100.0,0.0,"16,300","1,310",4.9,8.4,0.6,"12,554","1,301",6.3,6.5,0.6,"18,437","1,555",5.1,9.6,0.8,"14,604","1,405",5.8,7.6,0.7,"12,105","1,156",5.8,6.3,0.6,"12,813","1,248",5.9,6.6,0.6,"3,324",548,10.0,1.7,0.3,"5,570",801,8.7,2.9,0.4,"30,415","1,931",3.9,15.8,0.9,"19,122","1,429",4.5,9.9,0.7,"14,230","1,323",5.7,7.4,0.6,"33,479","1,680",3.1,17.4,0.7,,
CDTA2020,CD,BK13 Coney Island-Brighton Beach (CD 13 Approximation),313,Brooklyn,"90,002","2,999",2.0,100.0,0.0,"45,489","2,762",3.7,"74,948","4,800",3.9,"63,728","5,097",4.9,"17,876","1,035",3.5,100.0,0.0,"19,991","2,439",7.4,"31,261","2,060",4.0,"28,191","1,288",2.8,100.0,0.0,"4,948",609,7.5,17.6,2.0,"108,518","4,070",2.3,100.0,0.0,"26,362","2,709",6.2,24.3,2.3,"22,426","2,037",5.5,100.0,0.0,"6,983","1,536",13.4,31.1,6.2,"28,122","1,430",3.1,100.0,0.0,"8,523",900,6.4,30.3,2.8,"108,518","4,070",2.3,100.0,0.0,"7,890",963,7.4,7.3,0.8,"6,895",924,8.2,6.4,0.8,"11,577","1,361",7.1,10.7,1.2,"6,917","1,059",9.3,6.4,0.9,"8,246","1,026",7.6,7.6,0.9,"6,602",937,8.6,6.1,0.8,"1,992",437,13.3,1.8,0.4,"2,910",552,11.5,2.7,0.5,"14,590","1,238",5.2,13.4,1.0,"10,466","1,069",6.2,9.6,0.9,"7,750","1,058",8.3,7.1,0.9,"22,683","1,600",4.3,20.9,1.2,,
CDTA2020,CD,BK14 Flatbush-Midwood (CD 14 Approximation),314,Brooklyn,"127,016","3,573",1.7,100.0,0.0,"80,062","3,633",2.8,"115,724","11,444",6.0,"97,163","4,775",3.0,"23,553","1,085",2.8,100.0,0.0,"55,972","6,623",7.2,"44,138","4,356",6.0,"37,034","1,381",2.3,100.0,0.0,"4,347",514,7.2,11.7,1.3,"158,646","4,679",1.8,100.0,0.0,"25,038","2,156",5.2,15.8,1.3,"35,862","2,232",3.8,100.0,0.0,"6,449","1,124",10.6,18.0,2.9,"24,790","1,260",3.1,100.0,0.0,"4,639",533,7.0,18.7,1.9,"158,646","4,679",1.8,100.0,0.0,"9,993","1,022",6.2,6.3,0.6,"5,946",739,7.6,3.7,0.5,"9,099",893,6.0,5.7,0.5,"6,791",893,8.0,4.3,0.5,"6,662",810,7.4,4.2,0.5,"7,167",968,8.2,4.5,0.6,"2,788",502,10.9,1.8,0.3,"4,676",743,9.7,2.9,0.5,"23,718","1,634",4.2,15.0,0.9,"19,748","1,455",4.5,12.4,0.8,"15,558","1,354",5.3,9.8,0.8,"46,500","2,088",2.7,29.3,1.0,,
CDTA2020,CD,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),315,Brooklyn,"124,415","3,012",1.5,100.0,0.0,"74,164","3,582",2.9,"106,932","4,741",2.7,"92,599","4,221",2.8,"19,362",970,3.0,100.0,0.0,"40,686","3,472",5.2,"40,634","1,870",2.8,"40,166","1,242",1.9,100.0,0.0,"4,868",509,6.4,12.1,1.2,"155,257","3,977",1.6,100.0,0.0,"24,224","1,987",5.0,15.6,1.2,"35,173","1,944",3.4,100.0,0.0,"6,001",923,9.4,17.1,2.4,"31,035","1,282",2.5,100.0,0.0,"6,404",678,6.4,20.6,2.0,"155,257","3,977",1.6,100.0,0.0,"10,842","1,016",5.7,7.0,0.6,"5,584",683,7.4,3.6,0.4,"7,798",784,6.1,5.0,0.5,"7,364",784,6.5,4.7,0.5,"6,843",745,6.6,4.4,0.5,"6,884",753,6.7,4.4,0.5,"2,800",562,12.2,1.8,0.4,"2,860",515,11.0,1.8,0.3,"23,339","1,468",3.8,15.0,0.9,"17,851","1,361",4.6,11.5,0.8,"14,738","1,108",4.6,9.5,0.7,"48,354","2,046",2.6,31.1,1.0,,
CDTA2020,CD,BK16 Ocean Hill-Brownsville (CD 16 Approximation),316,Brooklyn,"76,107","2,806",2.2,100.0,0.0,"42,086","3,339",4.8,"64,676","4,667",4.4,"51,373","3,937",4.7,"15,763","1,104",4.3,100.0,0.0,"25,269","4,192",10.1,"25,073","1,849",4.5,"21,052","1,155",3.3,100.0,0.0,"5,635",735,7.9,26.8,3.2,"96,626","3,730",2.3,100.0,0.0,"31,640","2,646",5.1,32.7,2.4,"22,679","1,943",5.2,100.0,0.0,"9,203","1,486",9.8,40.6,5.6,"11,918","1,055",5.4,100.0,0.0,"3,464",602,10.6,29.1,4.4,"96,626","3,730",2.3,100.0,0.0,"19,168","1,602",5.1,19.8,1.5,"6,002","1,006",10.2,6.2,1.0,"6,470",887,8.3,6.7,0.9,"5,981",829,8.4,6.2,0.8,"4,731",798,10.3,4.9,0.8,"5,474",935,10.4,5.7,0.9,"1,062",349,20.0,1.1,0.4,"3,062",607,12.1,3.2,0.6,"15,228","1,475",5.9,15.8,1.4,"9,584","1,199",7.6,9.9,1.2,"6,285",894,8.6,6.5,0.9,"13,579","1,393",6.2,14.1,1.3,,
CDTA2020,CD,BK17 East Flatbush (CD 17 Approximation),317,Brooklyn,"129,516","3,564",1.7,100.0,0.0,"68,394","2,970",2.6,"93,152","4,457",2.9,"82,758","4,151",3.0,"21,264","1,192",3.4,100.0,0.0,"43,348","4,658",6.5,"35,911","1,814",3.1,"38,737","1,449",2.3,100.0,0.0,"4,988",768,9.4,12.9,1.9,"155,047","4,775",1.9,100.0,0.0,"25,167","2,613",6.3,16.2,1.6,"29,774","2,250",4.6,100.0,0.0,"6,898","1,386",12.2,23.2,4.3,"27,097","1,262",2.8,100.0,0.0,"4,234",605,8.7,15.6,2.1,"155,047","4,775",1.9,100.0,0.0,"11,159","1,178",6.4,7.2,0.7,"6,562",951,8.8,4.2,0.6,"7,446",859,7.0,4.8,0.5,"5,492",884,9.8,3.5,0.6,"6,858",965,8.6,4.4,0.6,"6,296",835,8.1,4.1,0.5,"3,475",686,12.0,2.2,0.4,"4,560",733,9.8,2.9,0.5,"24,775","1,705",4.2,16.0,1.0,"21,355","1,428",4.1,13.8,0.8,"18,020","1,399",4.7,11.6,0.8,"39,049","1,856",2.9,25.2,0.9,,
CDTA2020,CD,BK18 Canarsie-Flatlands (CD 18 Approximation),318,Brooklyn,"156,715","3,462",1.3,100.0,0.0,"86,729","3,320",2.3,"116,191","4,812",2.5,"101,509","4,287",2.6,"18,706",971,3.2,100.0,0.0,"48,400","4,787",6.0,"41,829","1,838",2.7,"49,703","1,318",1.6,100.0,0.0,"5,019",620,7.5,10.1,1.2,"191,560","4,489",1.4,100.0,0.0,"22,408","2,079",5.6,11.7,1.1,"40,811","2,140",3.2,100.0,0.0,"7,008","1,200",10.4,17.2,2.8,"36,717","1,532",2.5,100.0,0.0,"4,268",570,8.1,11.6,1.5,"191,560","4,489",1.4,100.0,0.0,"11,432","1,001",5.3,6.0,0.5,"4,991",631,7.7,2.6,0.3,"5,985",862,8.8,3.1,0.4,"7,329",832,6.9,3.8,0.4,"6,261",777,7.5,3.3,0.4,"6,277",725,7.0,3.3,0.4,"3,064",533,10.6,1.6,0.3,"3,527",512,8.8,1.8,0.3,"27,239","1,542",3.4,14.2,0.7,"26,374","1,413",3.3,13.8,0.7,"22,997","1,347",3.6,12.0,0.6,"66,084","2,202",2.0,34.5,0.8,,
CDTA2020,JIA,BK55 Prospect Park (JIA 55 Approximation),355,Brooklyn,0,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,
CDTA2020,JIA,BK56 Jamaica Bay (West) (JIA 56 Approximation),356,Brooklyn,13,19,88.8,100.0,0.0,"137,498",,,,,,"137,498",,,0,,,,,,,,,,,9,12,81.1,100.0,0.0,0,,,,,13,19,88.8,100.0,0.0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,13,19,88.8,100.0,0.0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,13,14,65.0,100.0,181.1,,
CDTA2020,CD,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),201,Bronx,"73,432","2,606",2.2,100.0,0.0,"31,296","2,081",4.0,"51,341","3,875",4.6,"37,737","2,344",3.8,"13,839","1,027",4.5,100.0,0.0,"15,729","1,797",6.9,"20,284","1,648",4.9,"23,482","1,237",3.2,100.0,0.0,"7,905",971,7.5,33.7,3.7,"96,493","3,781",2.4,100.0,0.0,"38,169","3,249",5.2,39.6,3.0,"25,855","2,128",5.0,100.0,0.0,"12,804","1,861",8.8,49.5,5.9,"11,358","1,017",5.4,100.0,0.0,"5,030",792,9.6,44.3,5.7,"96,493","3,781",2.4,100.0,0.0,"21,334","1,840",5.2,22.1,1.7,"8,554","1,249",8.9,8.9,1.2,"8,281","1,044",7.7,8.6,1.0,"7,735","1,162",9.1,8.0,1.2,"7,495","1,177",9.5,7.8,1.2,"4,840",879,11.0,5.0,0.9,"1,721",526,18.6,1.8,0.5,"2,661",610,13.9,2.8,0.6,"11,522","1,290",6.8,11.9,1.3,"7,509",975,7.9,7.8,1.0,"6,518","1,051",9.8,6.8,1.1,"8,323","1,033",7.5,8.6,1.0,,
