"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Percent"
"2010","UHF 42","101","4","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","61.9"
"2010","UHF 42","503","4","5","Staten Island","Willowbrook","Willowbrook  Staten Island","59.1"
"2010","UHF 42","504","4","5","Staten Island","South Beach - Tottenville","South Beach - Tottenville  Staten Island","55.2"
"2010","UHF 42","404","4","4","Queens","Bayside - Little Neck","Bayside - Little Neck  Queens","52.0"
"2010","UHF 42","502","4","5","Staten Island","Stapleton - St. George","Stapleton - St. George  Staten Island","48.5"
"2010","UHF 42","406","4","4","Queens","Fresh Meadows","Fresh Meadows  Queens","44.3"
"2010","UHF 42","405","4","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","43.9"
"2010","UHF 42","104","4","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","42.4"
"2010","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","40.3"
"2010","UHF 42","409","4","4","Queens","Southeast Queens","Southeast Queens  Queens","39.2"
"2010","UHF 42","103","4","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","38.2"
"2010","UHF 42","410","4","4","Queens","Rockaways","Rockaways  Queens","35.8"
"2010","UHF 42","501","4","5","Staten Island","Port Richmond","Port Richmond  Staten Island","35.8"
"2010","UHF 42","403","4","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","35.2"
"2010","UHF 42","102","4","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","34.3"
"2010","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","33.0"
"2010","UHF 42","408","4","4","Queens","Jamaica","Jamaica  Queens","31.1"
"2010","UHF 42","105","4","1","Bronx","Crotona - Tremont","Crotona - Tremont  Bronx","30.9"
"2010","UHF 42","303","4","3","Manhattan","East Harlem","East Harlem  Manhattan","30.2"
"2010","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","28.2"
"2010","UHF 42","407","4","4","Queens","Southwest Queens","Southwest Queens  Queens","27.8"
"2010","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","27.1"
"2010","UHF 42","302","4","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","26.8"
"2010","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","26.7"
"2010","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","26.5"
"2010","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","24.7"
"2010","UHF 42","309","4","3","Manhattan","Union Square - Lower East Side","Union Square - Lower East Side  Manhattan","24.1"
"2010","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","23.5"
"2010","UHF 42","402","4","4","Queens","West Queens","West Queens  Queens","23.2"
"2010","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","22.7"
"2010","UHF 42","310","4","3","Manhattan","Lower Manhattan","Lower Manhattan  Manhattan","22.6"
"2010","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","20.3"
"2010","UHF 42","305","4","3","Manhattan","Upper East Side","Upper East Side  Manhattan","20.2"
"2010","UHF 42","202","4","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","19.6"
"2010","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","18.2"
"2010","UHF 42","401","4","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","17.0"
"2010","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","16.8"
"2010","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","16.0"
"2010","UHF 42","201","4","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","12.1"
"2010","UHF 42","307","4","3","Manhattan","Gramercy Park - Murray Hill","Gramercy Park - Murray Hill  Manhattan","10.9"
"2010","UHF 42","308","4","3","Manhattan","Greenwich Village - SoHo","Greenwich Village - SoHo  Manhattan","9.7"
"2010","UHF 42","306","4","3","Manhattan","Chelsea - Clinton","Chelsea - Clinton  Manhattan","7.8"